Vendor_Formal_Name,Vendor_DBA,Contact_Name,telephone,fax,Email,certification,Cert_Renewal_Date,Ethnicity,Address1,Address2,City,State,ZIP,MailingAddress1,MailingAddress2,MailingCity,MailingState,MailingZip,Website,Date_Of_Establishment,Aggregate_Bonding_Limit,Signatory_To_Union_Contracts,Business_Description,Goods_Materials_Suplier,Types_of_Construction_Projects,Job_Exp1_Name_of_Client,Job_Exp1_Value_of_Contract,Job_Exp1_Percent_Self_Performed,DATEOFJOB1,EXPERIENCE1,Job_Exp2_Name_of_Client,Job_Exp2_Value_of_Contract,Job_Exp2_Percent_Self_Performed,DATEOFJOB2,EXPERIENCE2,Job_Exp3_Name_of_Client,Job_Exp3_Value_of_Contract,Job_Exp3_Percent_Self_Performed,DATEOFJOB3,EXPERIENCE3,Job_Exp4_Name_of_Client,Job_Exp4_Value_of_Contract,Job_Exp4_Percent_Self_Performed,DATEOFJOB4,EXPERIENCE4
Empire Electronics Inc.,,Nancy Pavis,6315449110,631 544-9015,npavis@empireusa.com,WBE,,NON-MINORITY,103 Fort Salonga Road,Ste 10,Northport,NY,11768,103 Fort Salonga Road,Ste 10,Northport,New York,11768,http://www.empireusa.com,09/01/1983,,,"Certified WBE distributor supplying over 300+ commodities in everything from industrial, commercial & electrical supplies to IT/Computer hardware & accessories as well as large/small appliances, valves, pumps, cables, office supplies, TVÂ¿s, cameras & so much more.",,,Lockheed Martin,508514,,11/08/2013,Provided Network modules,NYC Police Department,46006,,01/01/2013,Provided batteries,NYC Dept. of Corrections,37660,,06/27/2013,Provided Electrical Equipment & Supplies,,0,,,
"H.J. Martin Associates, Inc.",,Henry Martinez,7183534300,7183530444,henry@hjmartinelectric.com,MBE,08/31/2018,HISPANIC,14-31 110th Street,,College Point,NY,11356,14-31 110th Street,,College Point,New York,11356,http://www.hjmartinelectric.com,01/23/1985,,Electr IBEW 3,"Full service New York City Licensed Electrical Contractor specializing in commercial, institutional and governmental projects within the five boroughs.",,,,0,,,,,0,,,,,0,,,,,0,,,
"Kota Global Securities, Inc.",,Jose Reyes,6463808300,6463808359,jreyes@kotaglobalsecurities.com,MBE,04/30/2017,BLACK,317 Madison Avenue,Ste. 1220,New York,NY,10017,317 Madison Avenue,Ste. 1220,New York,New York,10017,,01/18/1991,250000,,"Kota  Global Seurities is a Minority- Women Business Enterprise Broker Dealer with global capabilities. We are an employee-owned firm made up of a culturally diverse group of institutional investment professionals with a long track record of success in our field. Kota now maintains offices in New York, San Francisco, Newport Beach and Chicago. We have put together an outstanding group of senior professionals with decades of experience at some of the top buy and sell-side institutions, as well as specialized boutiques. Kota holds its employees to the highest standards of integrity and professionalism and is fully committed to actively engaging in community outreach and philanthropy. KGS is able to provide its clients with global execution encompassing the U.S. and over 40 countries around the globe. Our firm's approach is driven by a group of seasoned professionals who assist in the trading, processing and settling of executions for clients in a manner that minimizes operational complexities. We have the ability to pre-match in almost every international market and are able to report trade discrepancies on a pre-settlement basis. We leverage the most current technology and long-term experience in global markets in order to provide best execution and competitive pricing to our clients.",,,JP Morgan,85000,,02/28/2011,Broker Dealer services,Augriga Securities,57000,,09/30/2012,Broker Dealer Services,Decatur Capital Management,42000,,12/31/2011,Broker Dealer Services,,0,,,
"TTT Events Planning,LLC",,Lydia Short,3473518897,,info@thinkeventsplanning.com,"MBE,WBE",08/31/2017;08/31/2017,BLACK,373 Park Avenue South,6th Floor,New York,NY,10016,373 Park Avenue,6th Floor,New York,New York,10016,http://www.ttteventsplanning.com,10/07/2009,,,"Events Planning and designing for wedding, social events and corporate events.. red carpet events, ribbon cutting ceremonies grand openings ticket tapes,",,,Robert London,50000,,05/01/2012,red carpet event,Sabrina daily,75000,,03/19/2011,Wedding,Christine Klotz,50000,,09/10/2010,Wedding,,0,,,
Pure + Applied,,Urshula Barbour,2129299449,2129296373,urshula@pureandapplied.com,WBE,,NON-MINORITY,1123 Broadway,#917,New York,NY,10010,Pure+Applied,"1123 Broadway, # 917",New York,New York,10010,http://www.pureandapplied.com,01/04/2002,,,"As multidisciplinary designers we believe effective design develops by understanding client goals, thorough review of content and context, and anticipating user needs. Our clients include museums, city agencies, publishers, architects, and urban planners. Utilizing typographic systems, media and infographics, we transform content for the analog, multisensory, and digital realms.",,,Brooklyn Historical Society,300000,100,09/01/2014,Design of space. Concept & design of permanent exhibtion. Oversight of fabrication.,FDR Four Freedoms Roosevelt Island Memorial,85000,100,05/01/2015,"Design, programming and implementation of website, accompanying ephemera",SUNY Performing Arts Center,48500,100,04/01/2013,"Wayfinding and signage for 97,000sf performing arts center.",,0,,,
"Linzi Contracting Services, Inc.",,Abazi Okoro,3476239928,718-341-2658,apokoro@msn.com,MBE,04/30/2017,BLACK,115-59 194th Street,,St. Albans,NY,11412,115-59 194th Street,,St. Albans,New York,11412,,11/02/2001,,,General construction services,,,RCCG House of Praise,120000,,01/01/2009,Conversion of store to a place of worhip and office space and apartment,Benjamin Santos,200000,,11/01/2011,Construction of 8 units apartments building with cellar 4 floors,Benjamin Santos,300000,,11/01/2011,"Demolition of one family house, and construction of a four story, 8 units apartment",,0,,,
Sector-Wide Health Inc.,,"Thelvis Alston, Jr.",6465881122,,thelvisalston@sector-widehealth.com,MBE,02/27/2020,BLACK,1231 Lafayette Avenue,2nd Floor,Bronx,NY,10474,1231 Lafayette Avenue,2nd Floor,Bronx,New York,10474,http://www.sector-widehealth.com,08/02/2013,,,"Sector-Wide Health professionals are the experts to help your small practice realize optimal revenue potential. Using proven strategies, we are here to help primary care providers in the community stay strong and viable to continue serving the inner communities of our nation. Utilizing government grants, process, enhancements, billing and management options, we work with you to define the road map.",,,Simone and Domozych Group,0,100,08/13/2013,"Gather Dr info, work on state, federal applications setup EHR memo",Family Dental Center,0,100,05/11/2013,"Gather Dr info, work on state, federal applications setup EHR memo",Circle Family Dental PC,0,100,03/18/2013,"Gather Dr info, work on state, federal applications setup EHR memo",,0,,,
"A. C. Advisory, Inc.",,Adela Cepeda,2125513324,6466075445,acepeda@acadvisoryinc.com,"MBE,WBE",12/31/2015;12/31/2015,HISPANIC,275 Madison Ave.,Suite 4000 - 40th Floor,New York,NY,10016,150 N. Wacker Drive,Ste. 2160,Chicago,Illinois,60606,http://www.acadvisoryinc.com,05/18/1995,,,Financial advisory firm.,,,City of Chicago,0,,10/30/2010,Capital markets financial advisory.,New York City,0,,12/30/2009,Capital markets financial advisory.,State of Connecticut,0,,04/30/2010,Capital markets financial advisory.,,0,,,
"Bissetta & List, Inc.",,Fedner La Chapelle,2122657771,212 489-2283,fedner@bissettalist.com,MBE,10/31/2017,BLACK,420 West 49th Street,Store Front West,New York,NY,10019,420 West 49th Street,Store Front West,New York,New York,10019,http://www.bissettalist.com,02/05/1951,,Plumbers 1,"Fire standpipe, downspout, drainage.",,,"C.A.C. Industries, Inc.",813574.76,100,08/01/2009,"Water, waste, storm drainage.",EE Cruz/Tully,1548600,100,06/01/2012,"Sanitary, waste, vent piping, track &storm drainage.",Gilbane Building Co.,477077,100,01/01/2013,Replacement of boilers & heaters for homes damaged by Hurricane Sandy.,,0,,,
"Star Draperies, Inc.",,Jacqueline Stolberg,6317562540,631 756-7121,stardraperies@aol.com,WBE,,NON-MINORITY,24 Florida Street,,Farmingdale,NY,11735,24 Florida Street,,Farmingdale,New York,11735,http://www.stardraperiesinc.com,02/01/1986,,,"Manufactures of custom made draperies and cubick curtains.  Supplier of window shades, horizontal vertical blinds.",,,NY Presbyterian Hosp.,127872,,10/01/2011,Shades,North Shore LIJ Health System,55320,,05/01/2011,Cubicle Curtains,NYU Langone Medical Center,23500,,12/01/2011,Draperies,,0,,,
"Compciti Business Solutions, Inc.",,Renu Vohra,2125944374,212 594-6714,rvohra@compciti.com,MBE,12/31/2016,ASIAN,261 West 35th Street,Ste. 603,New York,NY,10001,261 West 35th Street,Ste. 603,New York,New York,10001,http://www.compciti.com,06/01/1996,,,Business,,,Department of Cultural Affairs,99895,,10/25/2010,Provide and setup server and workstation,Molod Spitz Desantis,55000,,04/20/2010,Provide and setup new server and workstation move data from old server to new server,Department of Health and Mental Hygiene,70000,,01/21/2011,Provide IT equipment scanner signature pad etc.,,0,,,
Concept X Group Inc.,,Garth Johnson,7183610240,718 361-0263,kurt@conceptxinc.com,MBE,03/31/2016,BLACK,43-05 11th Street,Suite #100,Long Island City,NY,11101,43-05 11th Street,Suite #100,Long Island City,New York,11101,http://conceptxgroup.com,03/29/2002,,,"Full service audio and visual production company, that provides rental of video and sound reinforcement equipment custom installation, example (training room, churches, conference rooms and special events).",,,Red Bull,20000,,05/30/2010,"Provide all audio, lighting, video staging and power supply. Build a covered area for rain protection and provided black carpet, ropes and stanctions.",Rising Media,32000,,01/30/2010,"Created an outerspace experience by utalizing our audio, video, special effects lighting and unique sate design to transform the venue to incorporate the NASA theme.",Red Bull,36000,,10/30/2010,"Provide all audio, video, computers and printers needed for a 5 day conference in Alexandria, VA",,0,,,
New Prime General Construction Corp.,,Muhammad Rafique,7186541048,7186543859,newprimeconstruction@yahoo.com,MBE,07/31/2017,ASIAN,2530 Lurting Avenue,1 Fl.,Bronx,NY,10469,2530 Lurting Avenue,1 Fl.,Bronx,New York,10469,,06/08/2006,,,"Sheetrock, waterproofing, flooring, kitchen & bath, roofing, carpentry, masonry, painting, all forms of interior & exterior repair & remodeling.",,,Mr Jose Viloria,0,,04/29/2010,Intsall rear yard stone,Mr Daniel Genire,0,,08/22/2011,Intall stones,Mr Alan Walner,0,,04/05/2009,replace doors,,0,,,
"Concord Construction of New York, Inc.",,Delwar Siraj,7186277090,7186276740,concordconstructionny@yahoo.com,MBE,04/29/2020,ASIAN,1552 West 2nd Street,1st Fl.,Brooklyn,NY,11204,1552 West 2nd Street,1st Fl.,Brooklyn,New York,11204,,03/28/1994,1500000,,"Masonry restoration, concrete, waterproofing, roofing, interior renovation, tile, painting, finishing carpentry, flooring.",No,Building Construction (non-Residential); Residential Building Construction,Otsar Family Services,148000,100,06/26/2014,"Exterior restoration, brick work, waterproofing, concrete work, insulation and roofing.",HPD Sobro,185000,100,05/15/2013,"Masonry, restoration, waterproofing and painting.",The Dorset LLC,113000,100,06/10/2014,"Placing mortar joint, pointing, replace brick, waterproofing rear and side walls and painting.",NYPD,265000,100,11/26/2014,Exterior restoration and roofing.
Interstate Envelope Mfg. Corp.,,Alfred Wilkowski,7183262424,718 894-1570,alfredw@interstate-envelope.com,MBE,10/31/2018,HISPANIC,56-15  55th Drive,,Maspeth,NY,11378,56-15  55th Drive,,Maspeth,New York,11378,http://www.interstate-envelop.com,01/01/1965,100000,,"Plain & printed envelopes of all shapes, colors, and sizes, standard or custom, single or multiple windows.",,,HRA,27700,100,09/01/2014,Printed & window envelope,,0,,,,,0,,,,,0,,,
"Card Heating & Cooling, Inc.",,Alvin Card,7187202496,7187204102,acard60282@aol.com,MBE,03/30/2020,BLACK,266 Westervelt Avenue,,Staten Island,NY,10301,P.O. Box 10252,,Staten Island,New York,10301,,03/13/2007,,,"Installation, sales & service of HVAC systems both residential & commercial.",,,NYC Builders,15390,100,01/01/2014,"Install ductwork, diffusers and registers, etc.",Lisa Leshner,27775,100,06/01/2014,Install Mitsubishi Electric Heat Pump Ductless Split System,Hiram Cohen & Son,31275,100,09/01/2013,"Install 10 ton carrier rooftop HVAC unit and all registers, diffusers, etc.",,0,,,
"Standard Medical Equipment Systems, LLC","Standard Medical Systems, LLC",Anthony Goodesmith,8888861167,888 886-1167,tony@standardmed.us,MBE,09/30/2016,BLACK,20 Paladino Avenue,Ste. # 4E,New York,NY,10035,20 Paladino Avenue,Ste. # 4E,New York,New York,10035,http://www.standardmed.us,05/31/2005,3000000,,Standard Medical Systems provide high quality medical/laboratory equipment and supplies and services to the healthcare community at large.,,,NYPD Quarter Master Section,2237,,06/01/2011,"NYPD Police Academy Training order for Manikins and Models First Aid, Safety Trench/CPR Training.",,0,,,,,0,,,,,0,,,
RB Professional Design & Construction,,Rafael Baez,6465391061,,rbprofessionalconstruction@gmail.com,MBE,09/30/2018,HISPANIC,2200 Walton Avenue,Suite 6E,Bronx,NY,10453,2200 Walton Avenue,Suite 6E,Bronx,New York,10453,http://www.rbdesignconstruction,03/15/2008,,,"RB Construction is a Full Home Improvement Licensed Contractor performing interior and exterior renovation, sheetrock, plaster, taping, painting, wooden and tile floor installation, finishing assembling cabinetry, structural framming, siding, mansory, concrete asphat driveway and sidewalk, roofing and repairing or refurnishing any room.",,,Permanent Mission to the UN,0,,05/01/2011,"Design Const, electrical, plumbing, painting, tiling, carpenting, HVAC",Le Frog,0,,11/10/2012,HVAC,Saint Luke M.T. Church,0,,01/15/2013,"Design, Electrical, Plumbing, painting, HVAC",,0,,,
"Blue Marble Ventures, LLC",,Alexis Miesen,7188585551,718 569-6916,alexis@bluemarbleicecream.com,WBE,,NON-MINORITY,220 36th Street,Unit A502,Brooklyn,NY,11232,P.O. Box 320280,,Brooklyn,New York,11232,http://www.bluemarbleicecream.com,04/25/2007,,,"Brooklyn-based company offering certified organic, certified kosher ice cream. Our premium, locally-sourced product is available in pints for retailers and tubs for restaurants, hotels and other high-volume venues in 1.3 and 3 gallon sizes. We also offer prepackaged ice cream cups and sandwiches for schools and large institutions. Customized product available.",,,,0,,,,,0,,,,,0,,,,,0,,,
KLK Electric Inc.,,Rishi Bunsee,7184128166,,rishi@klkelectric.com,MBE,10/31/2017,ASIAN,5809 28th Avenue,,Woodside,NY,11377,5809 28th Avenue,,Woodside,New York,11377,http://klkelectric.com,12/01/2009,,,"We are an electrical contractor. We do power, lighting, data & communication.",,,Tesco Fire Services,35000,100,02/01/2014,Install conduit wires and power to the fire alarm system.,Amberlite Electric,26000,100,06/01/2014,Install conduit wires for feeder.,EKS Construction Inc.,110000,100,01/01/2014,Complete electrical for 4 apartments and 1 commercial store.,,0,,,
"Evay Development Associates, LLC",,Etta Fearon,7187989547,718 798-9548,evf1208@gmail.com,"MBE,WBE",02/28/2017;02/28/2017,BLACK,1334 East Gun Hill Road,,Bronx,NY,10469,1334 East Gun Hill Road,,Bronx,New York,10469,,10/13/2004,,,"Evay provides exterior and interior construction services. Work includes carpentry, plastering, drywall, painting, roofing, and cement work.  Exact scope of services will expand to match projects. Work includes renovation, new construction, and remedial work.",,,NYS Office of General Services,14500,,07/30/2010,"Replace concrete and repair drains and lines at NYS Cultural Education Center, Empire State Plaze, Albany, NY Loading Dock Area",City of Mount Vernon,35000,,07/01/2010,"Rehabiltiationof Residence-roof exterior walks, windows and siding.",The Plaza Residences Condominiums,200000,,12/30/2010,"Demo and restore bathroom fixtures and tile; interior partiton and ceiling; plumbing changes/additions; electrical work, painting.",,0,,,
House of Walker Publishing,,Michelle Nelson,9082421090,,mnelson@hwpublishing.com,"MBE,WBE",12/31/2016;12/31/2016,BLACK,232 Parmalee Place,,Elizabeth,NJ,07208,P.O. Box 9431,,Elizabeth,New Jersey,07202,http://www.hwpublishing.com,09/20/2007,,,"My business is currently a publishing business however, I have a recent patent pending on a digital, solar powered initiative which will greatly expand my business.",,,,0,,,,,0,,,,,0,,,,,0,,,
"Yarmus Engineering, P.C.",,Andrew Yarmus,8456343580,845 634-3733,info@yarmusengineering.com,MBE,07/31/2017,HISPANIC,230 North Main Street,,New City,NY,10956,230 North Main Street,,New City,New York,10956,http://www.yarmusengineering.com,02/01/1988,,,"Full service civil and environmental enginnering firm servicing the entire tri-state area, experience in the inspection, design, and maintenance of residential, commericial, and industrial structures, in conjunction with our expertise in building codes, provides us with the broad based background and expertise to assist clients",,,,0,,,,,0,,,,,0,,,,,0,,,
Precision Builders Group LTD.,,Octavian Bishop,7184441004,7184441005,obishop@precisioncorp.org,MBE,01/31/2018,BLACK,10522 Flatlands 1st Street,,Brooklyn,NY,11236,10522 Flatlands 1st Street,,Brooklyn,New York,11236,http://www.precisioncorp.org,04/01/2011,,,Small GC firm that self performs all aspects of carpentry from lay out to finish.,,,ORE Design & Technology,87000,100,01/01/2015,Convert shipping container to vendor stalls.,Castle Stone Construction Corp.,35000,100,06/01/2012,"Demo, layout and framing of walls, ceilings including door backs, taping, sheetrock installation and painting.",Castle Stone Construction Corp.,100000,100,01/01/2013,"Demo, layout, framing, ACT ceiling and painting of Staten Island Armory.",,0,,,
"Atlas Reporting, LLC",,Kelley Minogue,3477294923,,atlasreportingservices@gmail.com,WBE,,NON-MINORITY,140 Seguine Avenue,,Staten Island,NY,10309,140 Seguine Avenue,,Staten Island,New York,10309,http://depos@atlasreporting.net,04/18/2014,,,Our Company provides court reporters to a variety of Law firms to handle their deposition needs,,,Green & Cohen P.C.,252,75,02/10/2015,Provided court reporter to take down verbatim testimony for a depositiion,Green & Cohen P.C.,232,75,03/16/2015,Provided court reporter to take down verbatim testimony for a deposition,Green & Cohen P.C.,256,75,03/25/2015,Provided court reporter to take down verbatim testimony for a deposition,,0,,,
Romar Realty,,Martha anglin,7183938125,,romartha252@yahoo.com,"MBE,WBE",03/31/2019;03/31/2019,HISPANIC,5455 Kings H'Way,5B,Brooklyn,NY,11203,5455 Kings H'Way,5B,Brooklyn,New York,11203,,10/09/2008,,,"Romar Realty is a full service agency specializing in sales, rentals, leasing, property management of residential and commercial properties within the five boroughs of New York City.",,,,0,,,,,0,,,,,0,,,,,0,,,
ECOM TECHNOLOGIES,,Danielle Parchment,2126190524,,daniellep@ecom-ny.com,MBE,03/31/2016,BLACK,27 Park Place,Suite 213,New York,NY,10007,27 Park Place,,New York,New York,10007,,08/01/2000,,,Security System integrations,,,New York City Health and Hospitals,145000,100,03/11/2015,Mainting facility security systems,New York City health and hospitals,51000,100,03/18/2015,Installation of camera system,New York City Health and hospitals,35000,100,02/17/2015,Integrate and modify infant system,,0,,,
Accord Enterprise Corp.,,Rogerio Furtado,7183514780,8668870550,contactus@aecconstruction.com,MBE,05/30/2020,HISPANIC,63 Bryant Ave,,Staten Island,NY,10306,63 Bryant Ave,,Staten Island,New York,10306,http://www.aecconstruction.com,06/26/2008,50000,,"Contractor specializing in sidewalk, curbs, brick pavers, retaining walls & general exterior work.  Also engaged in buildings alterations and remodeling",No,"Residential Building Construction; Bridge and/or Roadways; Site work, i.e. Parks",NYC DDC - VRD CONSTRUCTION CORP,90000,100,06/04/2012,"INSTALLATION OF SIDEWALKS, ADJACENT CURBS AND PEDESTRIAN RAMPS IN VARIOUS LOCATIONS IN THE BOROUGH OF STATEN ISLAND, NY.",NYC DDC - SAFECO CONSTRUCTION CORP,90000,100,07/01/2013,"INSTALLATION OF SIDEWALKS, ADJACENT CURBS AND PEDESTRIAN RAMPS IN VARIOUS LOCATIONS IN THE BOROUGH OF STATEN ISLAND, NY.",NYC DDC - SAFECO CONSTRUCTION CORP,250000,100,06/02/2014,"INSTALLATION OF SIDEWALKS, ADJACENT CURBS AND PEDESTRIAN RAMPS IN VARIOUS LOCATIONS IN THE BOROUGH OF STATEN ISLAND, NY.",,0,,,
I-Con International,,Ibrahim Adeoti,9175193996,,ibru70@hotmail.com,MBE,08/31/2016,BLACK,237 North Broadway,Apt. 1A,Yonkers,NY,10701,237 North Broadway,Apt. 1A,Yonkers,New York,10701,,04/25/2000,,,"Offers hazardous materials remediation and consulting services, such as lead-paint and asbestos removal",,,New York Lead,7500,,07/10/2010,Asbestos removal projects,Horizon Construction,4700,,04/30/2011,Asbestos removal work,New York Lead,8100,,08/15/2010,Asbestos removal,,0,,,
"JLC Environmental Consultants, Inc.",,Suraj Jaswal,2124208119,2124206092,suraj@jlcenvironmental.com,WBE,,NON-MINORITY,243 west 30th Street,Suite 701,New York,NY,10001,243 West 30th Street,Suite 701,New York,New York,10001,http://www.jlcenvironmental.com,08/01/1987,1500000,,"Environmental consulting and testing for asbestors, lead, mold, water and air quality testing, soil; laboratory analaysis of asbestos and lead samples; training for asbestos and OSHA HAZWOPER courses.",,,"Milrose Consultants,Inc",0,,08/01/2012,Abestos Inpections,ACS NYC,0,,08/01/2011,Air  Monitorning,NYCHA,0,,08/01/2010,Lead inspections,,0,,,
"HASA Construction, LLC",,Shahid Akhtar,7183264281,,sakhtar@hasallc.com,MBE,07/30/2020,ASIAN,70-31 84th Street,,"Glendale,",NY,11385,70-31 84th Street,,"Glendale,",New York,11385,http://www.hasallc.com,02/22/2006,50000000,"Building,  Concrete,  Excavating and Common Laborers Union 731, District Council of Carpenter 1556, International Union of Operating Engineers Local Union 14, International Union of Operating Engineers Local Union 15A, Roadway and Heavy Construction Labor","Transportation: Roadway & Construction Rehabilitation, Waste and Stormwater Management, Municipal & Domestic Water Supply, Engineering",No,Bridge and/or Roadways; Sewer and/or Water Mains,New York State Department of Transportation,21287131.3,67,09/01/2011,Route 110 Drainage & Roadway Improvements,New York State Department of Transportation,22883067,66,02/01/2013,Reconstruction of Route 110-LIE North Service Road to Amityville Road,New York State Department of Transportation,9799500,82,04/01/2014,Route 9A Emergency Safety Restoration-3,New York City Department of Design + Construction,13461928,16,09/01/2015,Reconstruction of Nostrand Avenue Select Bus Service
"Hi & Low Computers, Inc.",,Ku-Long Lin,7188868088,718 359-0460,walter@hilow.com,MBE,12/31/2017,ASIAN,135-23 Northern Blvd.,,Flushing,NY,11354,135-23 Northern Blvd.,,Queens,New York,11354,http://www.hilow.com,04/04/1990,,,"Computer and appliance wholesale and retailm, surveillance systems, installation and repair.",,,Museum of jewish Heritage,0,,05/01/2010,Intallation of Cisco HP switches,,0,,,,,0,,,,,0,,,
Quigg Development Corp.,,Rosemarie Quigg,5167477529,516 747-4133,rozee721@gmail.com,WBE,,NON-MINORITY,6 Hewlett Drive,,East Williston,NY,11596,6 Hewlett Drive,,East Williston,New York,11596,,05/18/1992,,,"General construction company providing services in all removals, evacation, reconstruction of pavements, concrete curbs, brick work, masonry, installation of playbround equipment and finsihing. (including benches, b ball packstops.)",,,NYCHA,995500,,04/01/2009,"Concrete work, fence work, landscaping, play equipment, S.S.",NYC Parks Dept.,650000,,04/01/2011,"Concrete work, fence work, landscaping",NYC Parks Dept.,2000000,,06/01/2010,"Concrete work, fence work, landscaping, play equipment.",,0,,,
"CSM Engineering, P. C.",,Hiara Guevara,5163784887,516-378-1938,hgd@csmengineering.com,"MBE,WBE",03/31/2019;03/31/2019,ASIAN,626 RXR Plaza,,Uniondale,NY,11556,626 RXR Plaza,,Uniondale,New York,11556,http://www.csmengineering.com,05/13/1999,,,Construction Inspection Services.,,,"NYCDEP, URS / Malcolm Pirnie, Inc. J.V.",5430000,,01/01/2013,Expansion and Upgrade of Water Treatment Plant. (On-going),"NYCDEP, Hazen & Sawyer, P.C. / Malcolm Pirnie, Inc. J.V.",9350000,,01/01/2013,Expansion and Upgrade of Water Treatment Plant. (On-going),"NYCDEP, Malcolm Pirnie, Inc.",4861000,,01/01/2013,Installation of Groundwater Collection and Treatment System.  (On-going),,0,,,
Logo Bear Corporation,,Eun Joo Choi,6316675646,631 667-5141,logobearco@aol.com,MBE,04/29/2020,ASIAN,609 Acorn Street,,Deer Park,NY,11729,609 Acorn Street,,Deer Park,New York,11729,http://www.logobearcorp.com,05/16/1990,,,Plush toys wholesale to promotional marketing.,,,"Geiger, Inc",264.52,100,03/17/2015,Plush toys with logo printed shirts,AIA Corp.,1141.64,100,02/25/2015,Plush toys with logo printed shirts,Cruisin Sports,763.8,100,03/11/2015,Plush toys,CSE,1542,100,02/24/2015,Plush toys with logo printed shirts
"New York Inkjet, LLC",,Corey Pettway,5162233301,516 223-1188,corey@newyorkinkjet.com,MBE,07/31/2018,BLACK,775 Brooklyn Avenue,,Baldwin,NY,11510,775 Brooklyn Avenue,,Baldwin,New York,11510,http://www.newyorkinkjet.com,01/17/2006,,,e-commerce office/janitorial suplies to the federal government.,,,Department of Environmental Protection,8000,,07/08/2008,"Supply office products for purchases less than $5,000 but not limited to.",GSA MAS Schedule 75 (GS-02F-01195),150000,,04/03/2006,Procure office products as needed.,NYC Police Department,9000,,07/08/2008,"Supply office products for purchases less than $5,000 but limited to.",FDNY,24464.7,,05/23/2013,Ordered 18 12800 scam CLR 70PPM/1401PM
"H & N Insurance Agency & Financial Group, Inc.",,VJ Ghaness,7184541688,718 454-1689,vj@hnagency.com,MBE,03/31/2019,ASIAN,184-25 Jamaica Avenue,,Hollis,NY,11423,184-25 Jamaica Avenue,,Hollis,New York,11423,http://www.hninsuranceinc.com,09/15/2004,,,"We are a leading insurance agency & standard lines aggregator. We partner with the highest quality providers in the industry to offer customized solutions to meet our clients' business & personal insurance needs. Our cost-to-coast network utilizes its local knowledge, regional expertise & national relationship to deliver winning services to each client we serve.",,,Tropical Home Builders Inc.,100000,,05/01/2013,Provide several layers of insurance for vacant real estate valued at $10 million.,HCCI Inc.,950000,,06/01/2013,Provide several layers of insurance for real estate portfolio valued at $500 million.,SDGNY Inc.,95000,,08/01/2013,Provide several layers of insurance for a sign manufacturer.,,0,,,
A. ALEEM CONSTRUCTION INC,,Jillian Mohabeer,2125345500,,abdulaleem@aaleemconstruction.com,MBE,06/30/2016,BLACK,1629 PARK AVENUE,1B,NEW YORK,NY,10029,1629 PARK AVENUE,1B,NEW YORK,New York,10029,,01/07/1992,25000000,,"General construction,  gut rehabilitation, new construction.",,,Housing Works,2111312,,08/01/2010,"Gut Rehabilitation, General Construction, Masonry, Iron Work Carpentry, Electrical, Plumbing","West 149th Street Apt, LLP",12205720,,03/01/2011,"Gut Gut Rehabilitation, General Construction, Masonry, Iron Work Carpentry, Electrical, Plumbing",Abyssinian Development Corp,19297000,,01/01/2012,"New Construction, General Construction, Demolition, Execavation, Carpentry, Electrical. Etc.",,0,,,
"Gotham Technical Services, Inc.",GTS Electrical,Mark Reyes,3474487989,8773792110,mreyes519@gmail.com,MBE,11/30/2015,HISPANIC,215-20 43rd Avenue,Basement,Bayside,NY,11361,215-20 43rd Street,Basement,Bayside,New York,11361,,09/01/1995,,,"Electrical contracting company that installs electric wiring for lighting, power and heat for residential and commercial buildings. We also perform troubleshooting services for electrical systems.",,,Master Mechanical,292000,,01/01/2009,Provide all electrical need for (2) 24 unit buildings in Williamsburg Brooklyn,Jackson Development,610000,,02/10/2010,Provide all electric for co-generation equipment for a factory in Brooklyn,Kent Properties,799000,,01/01/2010,Provide all electrical needs for an 87 unit apt. building with commercial space.,,0,,,
"A & J Consulting Engineering Services, P.C.",,Raymond Wong,9737779696,973 777-5528,rwong@anjengineer.com,MBE,04/30/2018,ASIAN,164 Brighton Road,,Clifton,NJ,07012,164 Brighton Road,,Clifton,New Jersey,07012,http://www.anjengineer.com,09/19/1994,,,"The firms now offer a complete spectrum of professional engineering services with particular emphasis on Mechanical-Electrical Plumbing Systems Design, Construction Administration and High Performance Sustainable Design, LEED Design & Architecture. We serve a wide range of industries including governmental, educational, pharmaceutical, biotechnology, industrial, commercial restaurants & religious centers.",,,,0,,,,,0,,,,,0,,,,,0,,,
